[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.326 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.326 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.326 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.357 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.357 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.389 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.389 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.404 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.404 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.420 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.435 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.451 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:57.265 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:59.999 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:59.999 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:59.999 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:33:00.061 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:33:20.278 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:33:21.215 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:33:21.215 | Common:: deCodeLevel1 START
