[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.047 | Administration:: Exiting GetUserDetails
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:08.047 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.114 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.145 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:08.145 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.175 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.175 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:08.175 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.191 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.238 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:08.238 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.238 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.253 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.253 | Common:: DecodeBase64 START
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:08.269 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:09.545 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:09.561 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:13.226 | Common:: DecodeBase64 START
