[System: 192.168.1.79] INFO | 11-11-2025 13:32:27.835 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:32:27.913 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:33:18.087 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:33:18.087 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:33:18.087 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:33:18.258 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:33:28.821 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:33:28.821 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:33:28.821 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:33:28.915 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:34:18.079 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:34:18.079 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:34:18.079 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:34:18.126 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:34:29.819 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:34:29.819 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:34:29.819 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:34:29.912 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:35:18.078 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:35:18.078 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:35:18.078 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:35:18.125 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-11-2025 13:35:30.862 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-11-2025 13:35:30.877 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:35:30.893 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:35:30.893 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:35:30.893 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:35:30.971 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:36:17.165 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:36:18.072 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:36:18.072 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:36:18.072 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:36:18.119 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:36:31.807 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:36:31.807 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:36:31.807 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:36:31.900 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:37:18.080 | Common:: DecodeBase64 START
