[Sys Thread: 1] INFO | 07/02/2026 14:35:09.129 | SessionManager :: InitOnLoad() :: Entering...
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.284 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.674 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.737 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:36:15.758 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:36:15.758 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 14:36:15.758 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 07/02/2026 14:36:15.930 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:36:35.473 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.520 | token History IN 
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.520 | Administration:: Inside TokenHistroy
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.520 | token History OUT 
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.520 | deleteAttachments IN 
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.520 | attachmentFolderpath IN D:\web kit\api\Attachments\
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.520 | thValue IN 10
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.536 | directory.GetFiles() IN 
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.536 | directory.GetDirectories() IN 
[System: 192.168.1.76] INFO | 07/02/2026 14:36:35.536 | Attachment folder content Deleted successfully
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.465 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.465 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.465 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.465 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.465 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.481 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.481 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.481 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.496 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.496 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.496 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.496 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 14:37:49.496 | AdminController:: Exiting LDAPUserCheck
